asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
5pif-qmy6,,,"Children, Youth, and Families, Department of (DCYF)",
5f28-ixr8,auvb-4rvk,dataset,"Financial Management, Office of (OFM)","Fish and Wildlife, Department of (DFW)"
kgb6-75at,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
864s-zvjs,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
b4ga-e6w6,,,"Salmon Recovery Office, Governor's (GSRO)",
857w-6s2r,9nnw-c693,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Public Disclosure Commission (PDC)
n337-rtwa,,,"Public Instruction, Office of Superintendent of (OSPI)",
d7di-4cvg,xhn7-64im,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Public Disclosure Commission (PDC)
jzd3-uqdv,mki6-79zp,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
n4j4-duj8,egfy-h6vk,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
pksc-24zs,,,"Public Instruction, Office of Superintendent of (OSPI)",
n4nh-i7m7,,,"Public Instruction, Office of Superintendent of (OSPI)",
hdt6-ngsu,j78t-andi,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Public Disclosure Commission (PDC)
vc2g-vmqt,9mju-mxty,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
mcth-4f9w,hsuv-x2dz,dataset,"Labor & Industries, Department of (LNI)","Health, Department of (DOH)"
b5fh-iyqh,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
7iwq-4tne,,,"Salmon Recovery Office, Governor's (GSRO)",
jth9-gdxk,,,"Health, Department of (DOH)",
yp2z-s5j4,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
dn7s-ewcd,,,Timberland Regional Library,
i8us-s7ah,qxh8-f4bd,dataset,"Health, Department of (DOH)","Health, Department of (DOH)"
csxq-a422,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
btsw-fd8e,hdw4-yhs4,dataset,"Licensing, Department of (DOL)","Ecology, Department of (ECY)"
nua6-c78p,hdw4-yhs4,dataset,Asotin County Library,"Ecology, Department of (ECY)"
79jb-qg6b,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
h6ku-6pqp,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
urki-e22w,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
f98f-bc43,qxh8-f4bd,dataset,"Financial Management, Office of (OFM)","Health, Department of (DOH)"
tcxy-uh9b,,,Other external user,
cqdw-vumh,qb6f-d9a6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
rttb-6yp9,w9k2-96gh,dataset,Asotin County Library,"Ecology, Department of (ECY)"
ap5x-26cj,,,"Salmon Recovery Office, Governor's (GSRO)",
52db-bekd,,,"Public Instruction, Office of Superintendent of (OSPI)",
gnzk-3qnn,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
eya5-t78n,vgcw-qfjm,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Liquor and Cannabis Board (LCB)
7ktr-3bhb,,,"Public Instruction, Office of Superintendent of (OSPI)",
h8t8-47qx,mcjf-t2vf,dataset,Asotin County Library,"Ecology, Department of (ECY)"
2vu3-t9kf,swyb-gmfy,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
9kux-e7bs,gpri-47xz,dataset,Public Disclosure Commission (PDC),"Attorney General, Office of the (ATG)"
g8kr-9vgm,,,"Ecology, Department of (ECY)",
4j29-snvr,,,Washington State Technology Solutions (CTS),
3nd2-z8ns,7iwq-4tne,dataset,"Salmon Recovery Office, Governor's (GSRO)","Salmon Recovery Office, Governor's (GSRO)"
n4uw-he6j,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ef3e-qpb8,,,"Public Instruction, Office of Superintendent of (OSPI)",
qfaw-e644,9nnw-c693,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Public Disclosure Commission (PDC)
jinh-gwfa,6i3q-gfgy,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
qwj6-7aji,,,"Public Instruction, Office of Superintendent of (OSPI)",
jgxp-uvwe,,,"Public Instruction, Office of Superintendent of (OSPI)",
qwh7-z4my,e9ue-njm2,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
e89r-p7mt,vgcw-qfjm,dataset,Public Disclosure Commission (PDC),Liquor and Cannabis Board (LCB)
pm7s-yg2v,qb6f-d9a6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
6nhy-s9k7,,,"Ecology, Department of (ECY)",
tyea-uj7z,769e-73q6,dataset,"Financial Management, Office of (OFM)","Licensing, Department of (DOL)"
2gbq-qpgb,xupn-4ych,dataset,Timberland Regional Library,"Financial Management, Office of (OFM)"
67t4-gp46,,,"Ecology, Department of (ECY)",
9r3q-kuue,7iwq-4tne,dataset,"Fish and Wildlife, Department of (DFW)","Salmon Recovery Office, Governor's (GSRO)"
fri6-n6k5,,,"Ecology, Department of (ECY)",
ah6s-2fsx,,,"Ecology, Department of (ECY)",
3694-vruz,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
b6zw-m7zs,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
az4y-4v7j,,,"Employment Security, Department of (ESD)",
kvzf-6w5u,jeuk-pueh,dataset,Public Disclosure Commission (PDC),"Enterprise Services, Department of (DES)"
knvg-qm85,,,Other external user,
tbgf-yuzs,qb6f-d9a6,dataset,Asotin County Library,"Salmon Recovery Office, Governor's (GSRO)"
sqbm-624f,y8vk-3hy9,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
tka4-qurb,,,"Employment Security, Department of (ESD)",
jd2m-zjuf,,,"Ecology, Department of (ECY)",
ttci-n37g,cgyu-miem,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted
3j9d-77sr,,,"Natural Resources, Department of (DNR)",
jvx2-m4u3,,,"Ecology, Department of (ECY)",
3mda-ymgy,hdw4-yhs4,dataset,"Enterprise Services, Department of (DES)","Ecology, Department of (ECY)"
56g6-6kz3,7iwq-4tne,dataset,"Ecology, Department of (ECY)","Salmon Recovery Office, Governor's (GSRO)"
48sv-aigs,,,"Public Instruction, Office of Superintendent of (OSPI)",
3rgj-95q8,,,Public Disclosure Commission (PDC),
bm2r-usqu,,,Timberland Regional Library,
ss5i-yx6m,,,Timberland Regional Library,
6he9-ya4y,,,"Financial Management, Office of (OFM)",
76fk-n3q7,idhm-59de,dataset,Asotin County Library,"Ecology, Department of (ECY)"
xqmm-4rhy,,,"Public Instruction, Office of Superintendent of (OSPI)",
s82v-maxs,auvb-4rvk,dataset,"Labor & Industries, Department of (LNI)","Fish and Wildlife, Department of (DFW)"
j5qg-mmuy,,,Timberland Regional Library,
gisz-hhyx,h7j9-vgr3,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
pkfe-mve9,7iwq-4tne,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
vuz4-jy5y,,,"Public Instruction, Office of Superintendent of (OSPI)",
4yji-i7uh,7iwq-4tne,dataset,"Labor & Industries, Department of (LNI)","Salmon Recovery Office, Governor's (GSRO)"
ekki-gi8u,,,"Public Instruction, Office of Superintendent of (OSPI)",
uxv2-smgz,ksbn-hrmn,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
ghnc-9tw6,qb6f-d9a6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
t9vq-gfmw,auvb-4rvk,dataset,"Labor & Industries, Department of (LNI)","Fish and Wildlife, Department of (DFW)"
t6qr-f2pq,,,"Health, Department of (DOH)",
vzry-t2nc,,,Other external user,
pidt-c4kw,,,"Public Instruction, Office of Superintendent of (OSPI)",
wnex-iz3v,qxh8-f4bd,dataset,"Ecology, Department of (ECY)","Health, Department of (DOH)"
ak69-2c88,9f5q-vk4q,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
u4cd-bc3x,cdk6-5kdf,dataset,"Secretary of State, Office of the (SECSTATE)","Licensing, Department of (DOL)"
f6st-whvb,,,"Ecology, Department of (ECY)",
24av-4frv,uyg8-hybx,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
esyr-g8p5,,,"Public Instruction, Office of Superintendent of (OSPI)",
3j7j-78p6,49zc-4hgv,map,Asotin County Library,"Public Instruction, Office of Superintendent of (OSPI)"
ts74-pnhq,,,Asotin County Library,
qg36-fssx,sjs9-q69w,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
4mxd-hz2q,,,"Labor & Industries, Department of (LNI)",
eitf-fmad,,,"Health, Department of (DOH)",
fq6z-fmep,h7j9-vgr3,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
5bjn-hqd8,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
36vs-25qb,qxh8-f4bd,dataset,Asotin County Library,"Health, Department of (DOH)"
u5y4-g7a8,54uu-mahh,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
yq7k-rsxt,swyb-gmfy,dataset,Asotin County Library,Washington State Technology Solutions (CTS)
ach3-t84q,,,"Enterprise Services, Department of (DES)",
72in-8ujh,,,Timberland Regional Library,
h5ih-67hr,,,"Public Instruction, Office of Superintendent of (OSPI)",
ymav-ra9m,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
7hjv-emmm,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
b4k4-n7cq,swyb-gmfy,dataset,"Salmon Recovery Office, Governor's (GSRO)",Washington State Technology Solutions (CTS)
mdey-mtnu,y3ds-rkew,dataset,"Labor & Industries, Department of (LNI)",Washington State Technology Solutions (CTS)
tb2x-p7u5,,,Asotin County Library,
izyc-t5hm,,,"Public Instruction, Office of Superintendent of (OSPI)",
5ybp-2uff,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
9tkv-r7vn,qxh8-f4bd,dataset,Recreation and Conservation Office (RCO),"Health, Department of (DOH)"
9nwy-y8k5,,,Timberland Regional Library,
65cn-ubda,,,Timberland Regional Library,
uj9i-6c8i,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
ri4a-xear,qb6f-d9a6,dataset,"Ecology, Department of (ECY)","Salmon Recovery Office, Governor's (GSRO)"
4ydu-ad44,769e-73q6,dataset,"Labor & Industries, Department of (LNI)","Licensing, Department of (DOL)"
x36f-hznq,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
akbt-b92p,,,Timberland Regional Library,
hhff-ih6e,tmay-2i9v,dataset,"Salmon Recovery Office, Governor's (GSRO)","Ecology, Department of (ECY)"
df2z-bzcs,29zh-34j2,parent asset is private or deleted,Asotin County Library,parent asset is private or deleted
e7i3-cutn,,,Timberland Regional Library,
r7e2-ww9m,,,Washington State Technology Solutions (CTS),
k5mn-4k3c,qxh8-f4bd,dataset,"Ecology, Department of (ECY)","Health, Department of (DOH)"
tck6-8b8y,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
ed66-842c,,,"Health, Department of (DOH)",
i3jn-y8vx,,,"Health, Department of (DOH)",
mhpd-vh55,qb6f-d9a6,dataset,Washington State Technology Solutions (CTS),"Salmon Recovery Office, Governor's (GSRO)"
8rg4-7mci,y8vk-3hy9,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
nd7a-r8u8,9mju-mxty,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
5s66-2kbs,,,"Health, Department of (DOH)",
9nnk-gys8,fgyz-n3uk,dataset,"Labor & Industries, Department of (LNI)","Fish and Wildlife, Department of (DFW)"
m3ue-3nvu,auvb-4rvk,dataset,Recreation and Conservation Office (RCO),"Fish and Wildlife, Department of (DFW)"
caw2-scdg,6du3-3h9e,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Accountancy, State Board of (WBOA)(ACB)"
aayx-fa6z,,,"Public Instruction, Office of Superintendent of (OSPI)",
xms2-7pwe,,,"Salmon Recovery Office, Governor's (GSRO)",
7eq8-772m,,,"Public Instruction, Office of Superintendent of (OSPI)",
dygw-v7c9,6698-gep7,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted
gdw2-uv4h,,,Washington State Technology Solutions (CTS),
6xdf-8ca4,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
52ar-e75j,,,"Salmon Recovery Office, Governor's (GSRO)",
6mxf-4juq,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
myws-9yw2,,,Asotin County Library,
ahe2-i7da,66z5-f756,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted
khba-ryvx,tmay-2i9v,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
bre7-ycv8,h7j9-vgr3,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
736s-s2jf,cqra-s74n,dataset,Timberland Regional Library,"Fish and Wildlife, Department of (DFW)"
jb7q-d85z,66za-bpc8,parent asset is private or deleted,"Enterprise Services, Department of (DES)",parent asset is private or deleted
hsuv-x2dz,,,"Health, Department of (DOH)",
rxa9-vvqu,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
nmb2-q24q,q5wz-ifzi,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
9vm5-7kxk,,,"Health, Department of (DOH)",
vewj-jzzm,pj4z-63k7,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
2kd6-xe4x,,,"Natural Resources, Department of (DNR)",
icrh-68vs,u9d5-kb9m,dataset,"Employment Security, Department of (ESD)","Ecology, Department of (ECY)"
ub89-7wbv,,,Public Disclosure Commission (PDC),
evrd-xn3p,,,"Public Instruction, Office of Superintendent of (OSPI)",
96ah-by3q,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
j2t4-czkj,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
mihd-6b5x,,,Timberland Regional Library,
88ia-cbt4,,,"Public Instruction, Office of Superintendent of (OSPI)",
yqsf-acee,,,Timberland Regional Library,
kxx3-s5wq,7iwq-4tne,dataset,Asotin County Library,"Salmon Recovery Office, Governor's (GSRO)"
twsd-tsxw,h4ip-8hec,parent asset is private or deleted,"Financial Management, Office of (OFM)",parent asset is private or deleted
qrkg-wkjp,,,Washington State Technology Solutions (CTS),
mbz8-rfuh,qxh8-f4bd,dataset,"Secretary of State, Office of the (SECSTATE)","Health, Department of (DOH)"
2sqz-x45d,,,"Labor & Industries, Department of (LNI)",
tvja-smsy,qxh8-f4bd,dataset,"Ecology, Department of (ECY)","Health, Department of (DOH)"
a6gb-qdgf,9bjy-hi93,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Financial Management, Office of (OFM)"
rjpy-p4ga,,,"Public Instruction, Office of Superintendent of (OSPI)",
qwu2-wire,a2n7-rij5,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
pzct-yzvc,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
x7ve-3brq,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
6grp-8ghq,,,"Natural Resources, Department of (DNR)",
2vkt-dfag,,,"Public Instruction, Office of Superintendent of (OSPI)",
5jcy-kiex,cqra-s74n,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
6mys-k3by,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
hasg-mr3s,ixni-jq78,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
5hxe-j878,3b7q-74f4,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
fs39-yvqy,,,"Ecology, Department of (ECY)",
8rku-jvmg,,,"Salmon Recovery Office, Governor's (GSRO)",
u9d5-kb9m,,,"Ecology, Department of (ECY)",
uqtn-uip2,,,Asotin County Library,
evgq-dn24,jeuk-pueh,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Enterprise Services, Department of (DES)"
ydmh-fnxs,qxh8-f4bd,dataset,Recreation and Conservation Office (RCO),"Health, Department of (DOH)"
muyg-7me5,h4ip-8hec,parent asset is private or deleted,"Financial Management, Office of (OFM)",parent asset is private or deleted
uc69-gudu,,,"Financial Management, Office of (OFM)",
mkqv-936p,qb6f-d9a6,dataset,"Ecology, Department of (ECY)","Salmon Recovery Office, Governor's (GSRO)"
49zc-4hgv,,,"Public Instruction, Office of Superintendent of (OSPI)",
4f5d-5tdn,qxh8-f4bd,dataset,Other external user,"Health, Department of (DOH)"
7siw-ipvy,,,"Public Instruction, Office of Superintendent of (OSPI)",
dvqh-gsxk,,,Higher Ed - not listed,
kamv-vu8a,qb6f-d9a6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
cr46-8kq9,,,"Fish and Wildlife, Department of (DFW)",
dbjb-3piv,4m5j-xuvx,dataset,"Ecology, Department of (ECY)",Other external user
9949-vk3e,,,"Public Instruction, Office of Superintendent of (OSPI)",
ntsn-my4n,qb6f-d9a6,dataset,Asotin County Library,"Salmon Recovery Office, Governor's (GSRO)"
tf7e-z5t7,,,"Health, Department of (DOH)",
k67g-t283,,,Washington State Technology Solutions (CTS),
cskf-p46z,ehbc-shxw,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Public Disclosure Commission (PDC)
q7tj-pw7m,,,"Public Instruction, Office of Superintendent of (OSPI)",
s2fv-7nn3,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
qn7b-sqv3,j59h-dkq5,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Enterprise Services, Department of (DES)"
bbxa-rma3,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
fvhz-9tz9,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
jxpu-ahb2,dwbh-u4rr,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted
jxpu-ahb2,q2jk-dthc,filter,"Ecology, Department of (ECY)","Accountancy, State Board of (WBOA)(ACB)"
rfwq-aeny,qb6f-d9a6,dataset,Asotin County Library,"Salmon Recovery Office, Governor's (GSRO)"
9dgd-qqt4,gpri-47xz,dataset,Liquor and Cannabis Board (LCB),"Attorney General, Office of the (ATG)"
3b7q-74f4,,,Washington State Technology Solutions (CTS),
qcnw-unrs,n5j5-n3nw,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Recreation and Conservation Office (RCO)
93km-ba4a,,,"Public Instruction, Office of Superintendent of (OSPI)",
9q3f-ngka,985a-f68u,dataset,Timberland Regional Library,"Ecology, Department of (ECY)"
g6c2-27xj,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
wkyj-ku4z,7iwq-4tne,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
k5p7-4crk,,,Other external user,
93ce-b95t,,,"Public Instruction, Office of Superintendent of (OSPI)",
vk6s-am8z,,,"Financial Management, Office of (OFM)",
d5dm-bwe8,,,"Public Instruction, Office of Superintendent of (OSPI)",
j2u5-4qpk,,,Washington State Technology Solutions (CTS),
9es4-m5a8,r3fy-c4n6,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
cjza-wqsm,,,"Public Instruction, Office of Superintendent of (OSPI)",
tugd-z7b3,y8vk-3hy9,dataset,"Ecology, Department of (ECY)","Salmon Recovery Office, Governor's (GSRO)"
mki6-79zp,,,"Ecology, Department of (ECY)",
pn4x-rv9j,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
7hab-8dti,tvcw-86a9,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
xcbp-vpb4,xms2-7pwe,dataset,"Financial Management, Office of (OFM)","Salmon Recovery Office, Governor's (GSRO)"
rc4v-ykpk,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
h453-5pgk,,,Asotin County Library,
vvfu-ry7f,,,"Financial Management, Office of (OFM)",
2fg7-s4vh,swyb-gmfy,dataset,Timberland Regional Library,Washington State Technology Solutions (CTS)
39v6-dykg,,,"Financial Management, Office of (OFM)",
3kgg-8c3v,67t4-gp46,dataset,"Natural Resources, Department of (DNR)","Ecology, Department of (ECY)"
bgih-kixw,ksbn-hrmn,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
j8jk-ccus,xms2-7pwe,dataset,"Financial Management, Office of (OFM)","Salmon Recovery Office, Governor's (GSRO)"
iddn-kjtd,ehbc-shxw,dataset,"Employment Security, Department of (ESD)",Public Disclosure Commission (PDC)
fcqq-ybri,,,"Public Instruction, Office of Superintendent of (OSPI)",
26rj-f9wn,,,"Public Instruction, Office of Superintendent of (OSPI)",
rmrd-fkcz,g8kr-9vgm,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
ej5m-hutb,,,"Financial Management, Office of (OFM)",
6zih-i79k,,,"Labor & Industries, Department of (LNI)",
rnfh-a5ww,y8vk-3hy9,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
spnc-z2pw,,,"Salmon Recovery Office, Governor's (GSRO)",
guun-zsfq,6du3-3h9e,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Accountancy, State Board of (WBOA)(ACB)"
rez2-h4iq,cqra-s74n,dataset,Other external user,"Fish and Wildlife, Department of (DFW)"
jw9r-rk9z,f4a9-b2hi,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted
7ir3-4v4j,,,Shoreline School District,
2is8-cwe6,qxh8-f4bd,dataset,"Financial Management, Office of (OFM)","Health, Department of (DOH)"
xmp3-22vu,rc8q-67ty,parent asset is private or deleted,"Financial Management, Office of (OFM)",parent asset is private or deleted
5myx-tu78,k328-cdkz,dataset,"Children, Youth, and Families, Department of (DCYF)","Ecology, Department of (ECY)"
2rcf-a8gk,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
j6wa-f7wx,7iwq-4tne,dataset,Timberland Regional Library,"Salmon Recovery Office, Governor's (GSRO)"
uxv9-c2g9,,,Asotin County Library,
iaxj-rkyt,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
7ipt-eqqd,,,Shoreline School District,
c46n-u7fy,69ff-eep2,parent asset is private or deleted,"Labor & Industries, Department of (LNI)",parent asset is private or deleted
44j8-gi8s,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
9jds-te9m,yizh-eh8b,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
2bnq-6iqh,49zc-4hgv,map,"Public Instruction, Office of Superintendent of (OSPI)","Public Instruction, Office of Superintendent of (OSPI)"
aw3j-6k75,,,"Ecology, Department of (ECY)",
teme-ehgs,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
u3zb-34g2,cqra-s74n,dataset,"Secretary of State, Office of the (SECSTATE)","Fish and Wildlife, Department of (DFW)"
quhu-28uh,,,"Natural Resources, Department of (DNR)",
fgne-53sr,qxh8-f4bd,dataset,"Ecology, Department of (ECY)","Health, Department of (DOH)"
ynt2-dmyz,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
fyw9-xz99,pph6-iymj,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
7vzj-84vy,,,"Public Instruction, Office of Superintendent of (OSPI)",
afya-miwy,xms2-7pwe,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
bvfs-erhf,djz9-i465,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted
cgha-fszd,,,"Health, Department of (DOH)",
9g2s-trhy,aw3j-6k75,dataset,Kennewick School District,"Ecology, Department of (ECY)"
hniw-s85d,cqra-s74n,dataset,Washington Student Achievement Council (WSAC),"Fish and Wildlife, Department of (DFW)"
kas3-3xup,,,"Children, Youth, and Families, Department of (DCYF)",
wf4i-evff,,,Asotin County Library,
fcrw-p9wq,,,"Ecology, Department of (ECY)",
jb9v-t7ha,cqra-s74n,dataset,"Enterprise Services, Department of (DES)","Fish and Wildlife, Department of (DFW)"
nf9z-26wu,eavu-b2qa,map,"Financial Management, Office of (OFM)","Public Instruction, Office of Superintendent of (OSPI)"
c535-p92u,,,"Financial Management, Office of (OFM)",
dyxr-tix9,,,"Ecology, Department of (ECY)",
ykxi-ijw4,,,"Public Instruction, Office of Superintendent of (OSPI)",
spy8-d7us,,,"Ecology, Department of (ECY)",
ccap-9igu,h4ip-8hec,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
mhct-mytn,,,Washington State Technology Solutions (CTS),
6xnq-vmem,auvb-4rvk,dataset,"Financial Management, Office of (OFM)","Fish and Wildlife, Department of (DFW)"
q4is-ii4v,,,"Ecology, Department of (ECY)",
5bjv-pebn,,,"Public Instruction, Office of Superintendent of (OSPI)",
8fru-uzs6,txra-bsgd,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
t67u-kqmf,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
amhy-56yv,uyg8-hybx,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
fra2-a2ws,mf85-v9ji,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
tucy-vh7i,,,"Ecology, Department of (ECY)",
