asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
2jwd-akfb,kv7h-kjye,dataset,"Financial Management, Office of (OFM)",Public Disclosure Commission (PDC)
h9ai-7h4s,wvrf-jdmh,parent asset is private or deleted,"Fish and Wildlife, Department of (DFW)",parent asset is private or deleted
mcr6-ujqw,,,"Labor & Industries, Department of (LNI)",
292v-tb9r,,,"Public Instruction, Office of Superintendent of (OSPI)",
f9jk-mm39,,,"Financial Management, Office of (OFM)",
b83e-f7n2,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
rxjk-6ieq,,,"Public Instruction, Office of Superintendent of (OSPI)",
um6h-4brj,,,"Financial Management, Office of (OFM)",
e239-pe5z,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)"
6iji-4nux,,,"Public Instruction, Office of Superintendent of (OSPI)",
xfwh-dmij,,,"Enterprise Services, Department of (DES)",
buf8-6px9,,,"Enterprise Services, Department of (DES)",
pcn2-jime,,,"Labor & Industries, Department of (LNI)",
t9je-9qwa,,,"Labor & Industries, Department of (LNI)",
8y5c-ekcc,,,"Health, Department of (DOH)",
8ydb-ddzd,thnz-yg58,parent asset is private or deleted,"Health, Department of (DOH)",parent asset is private or deleted
5sqj-8rp7,,,"Ecology, Department of (ECY)",
gges-4vcv,,,"Public Instruction, Office of Superintendent of (OSPI)",
vtkh-65is,,,"Ecology, Department of (ECY)",
pzcu-jpab,,,"Accountancy, State Board of (WBOA)(ACB)",
qd59-xzg5,,,"Public Instruction, Office of Superintendent of (OSPI)",
hjdc-v2n4,,,"Fish and Wildlife, Department of (DFW)",
i89p-imif,,,"Health, Department of (DOH)",
8xvp-mkxj,gpri-47xz,dataset,"Licensing, Department of (DOL)","Attorney General, Office of the (ATG)"
t5e7-p2d6,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
rrud-rd4u,,,"Public Instruction, Office of Superintendent of (OSPI)",
67cp-h962,,,Public Disclosure Commission (PDC),
e6ip-wkqq,,,"Financial Management, Office of (OFM)",
7yrf-pays,m8qx-ubtq,dataset,"Labor & Industries, Department of (LNI)","Labor & Industries, Department of (LNI)"
5ncp-48yu,,,"Children, Youth, and Families, Department of (DCYF)",
ehbc-shxw,,,Public Disclosure Commission (PDC),
brw6-jymh,,,"Licensing, Department of (DOL)",
c425-xvu2,,,"Labor & Industries, Department of (LNI)",
cki8-rxms,f6w7-q2d2,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
769e-73q6,,,"Licensing, Department of (DOL)",
gi9j-78eu,,,"Insurance Commissioner, Office of the (OIC)",
fvrz-yz45,,,"Attorney General, Office of the (ATG)",
icqj-j27g,,,"Employment Security, Department of (ESD)",
mthi-ii8j,,,"Fish and Wildlife, Department of (DFW)",
sk7q-fh86,,,"Public Instruction, Office of Superintendent of (OSPI)",
9ncw-tqjn,,,"Labor & Industries, Department of (LNI)",
